[114 x 213 from (8, 327)]
[107 x 190 from (23, 349)]
[110 x 188 from (23, 352)]
[101 x 194 from (29, 346)]
[87 x 185 from (38, 354)]
[92 x 187 from (46, 353)]
[86 x 186 from (51, 352)]
[87 x 194 from (59, 346)]
[75 x 197 from (75, 343)]
[56 x 198 from (101, 341)]
[61 x 196 from (103, 344)]
[59 x 197 from (113, 343)]
[57 x 196 from (125, 344)]
[78 x 201 from (123, 339)]
[86 x 197 from (132, 343)]
[97 x 197 from (134, 343)]
[113 x 195 from (134, 345)]
[119 x 196 from (141, 344)]
[128 x 193 from (143, 347)]
[135 x 192 from (143, 348)]
[135 x 192 from (150, 348)]
[141 x 191 from (151, 349)]
[134 x 191 from (161, 349)]
[129 x 195 from (169, 345)]
[121 x 194 from (178, 346)]
[111 x 194 from (192, 346)]
[107 x 193 from (199, 347)]
[101 x 194 from (210, 346)]
[89 x 197 from (224, 343)]
[80 x 198 from (237, 342)]
[71 x 194 from (254, 346)]
[61 x 193 from (270, 347)]
[52 x 196 from (280, 344)]
[55 x 195 from (284, 345)]
[58 x 197 from (290, 343)]
[76 x 192 from (295, 348)]
[89 x 195 from (297, 345)]
[101 x 193 from (296, 347)]
[105 x 194 from (305, 346)]
[114 x 192 from (304, 348)]
[119 x 195 from (311, 345)]
[117 x 193 from (313, 347)]
[116 x 195 from (322, 345)]
[96 x 196 from (331, 344)]
[106 x 196 from (331, 344)]
[97 x 196 from (341, 344)]
[88 x 200 from (350, 340)]
[79 x 202 from (361, 338)]
[73 x 201 from (373, 339)]
[67 x 205 from (386, 335)]
[52 x 203 from (404, 334)]
[55 x 201 from (409, 336)]
[53 x 206 from (421, 331)]
[60 x 205 from (422, 333)]
[62 x 205 from (431, 333)]
[76 x 203 from (436, 332)]
[94 x 200 from (436, 335)]
[104 x 202 from (439, 332)]
[112 x 200 from (439, 333)]
[106 x 200 from (448, 333)]
[119 x 196 from (450, 333)]
[120 x 202 from (453, 332)]
[116 x 203 from (460, 331)]
[118 x 200 from (466, 330)]
[111 x 203 from (473, 329)]
[115 x 209 from (482, 320)]
[98 x 209 from (494, 323)]
[93 x 215 from (508, 323)]
[74 x 202 from (519, 323)]
[56 x 212 from (542, 318)]
[54 x 211 from (550, 319)]
[61 x 213 from (556, 317)]
[52 x 214 from (566, 316)]
[58 x 216 from (572, 318)]
[65 x 218 from (577, 315)]
[69 x 215 from (582, 316)]
[105 x 202 from (583, 320)]
[116 x 201 from (586, 318)]
[124 x 198 from (586, 321)]
[124 x 203 from (591, 317)]
[127 x 204 from (595, 317)]
[126 x 200 from (597, 318)]
[113 x 208 from (614, 317)]
[124 x 209 from (612, 317)]
[107 x 208 from (627, 319)]
[94 x 204 from (642, 321)]
[93 x 213 from (652, 316)]
[93 x 220 from (658, 315)]
[76 x 219 from (677, 313)]
[71 x 215 from (691, 315)]
[66 x 218 from (701, 315)]
[64 x 217 from (714, 315)]
[72 x 211 from (718, 318)]
[80 x 212 from (727, 313)]
[96 x 212 from (729, 312)]
[101 x 207 from (740, 316)]
[113 x 211 from (744, 315)]
[116 x 206 from (748, 322)]
[127 x 212 from (749, 315)]
[130 x 209 from (756, 317)]
[129 x 209 from (765, 315)]
[130 x 209 from (769, 313)]
[135 x 212 from (773, 312)]
[122 x 211 from (788, 313)]
[114 x 209 from (799, 312)]
[107 x 206 from (812, 309)]
[107 x 217 from (821, 302)]
[95 x 218 from (836, 300)]
