[177 x 357 from (1022, 234)]
[127 x 321 from (1040, 255)]
[123 x 328 from (1041, 252)]
[118 x 325 from (1047, 255)]
[132 x 327 from (1042, 251)]
[131 x 318 from (1041, 261)]
[134 x 317 from (1039, 262)]
[128 x 313 from (1045, 263)]
[130 x 310 from (1042, 265)]
[126 x 317 from (1040, 262)]
[129 x 310 from (1038, 266)]
[126 x 313 from (1039, 261)]
[136 x 313 from (1033, 265)]
[145 x 309 from (1027, 265)]
[148 x 312 from (1022, 267)]
[157 x 310 from (1015, 269)]
[165 x 307 from (1010, 270)]
[161 x 315 from (1011, 267)]
[166 x 314 from (1006, 269)]
[171 x 311 from (1003, 272)]
[171 x 310 from (1001, 271)]
[173 x 311 from (997, 271)]
[170 x 315 from (998, 269)]
[175 x 313 from (990, 272)]
[172 x 321 from (984, 270)]
[169 x 317 from (979, 269)]
[158 x 318 from (978, 269)]
[142 x 320 from (979, 270)]
[132 x 321 from (977, 269)]
[125 x 321 from (972, 267)]
[109 x 326 from (972, 265)]
[112 x 326 from (967, 266)]
[123 x 322 from (956, 270)]
[130 x 323 from (946, 269)]
[149 x 325 from (930, 267)]
[166 x 326 from (910, 269)]
[181 x 320 from (896, 272)]
[181 x 323 from (898, 274)]
[184 x 318 from (896, 274)]
[183 x 310 from (896, 279)]
[184 x 315 from (892, 277)]
[183 x 324 from (890, 273)]
[179 x 319 from (887, 274)]
[160 x 323 from (895, 270)]
[158 x 317 from (890, 276)]
[142 x 315 from (892, 273)]
[125 x 314 from (893, 274)]
[116 x 322 from (889, 269)]
[98 x 322 from (889, 273)]
[98 x 324 from (881, 269)]
[93 x 320 from (879, 268)]
[105 x 325 from (870, 269)]
[129 x 325 from (848, 269)]
[149 x 323 from (824, 270)]
[158 x 323 from (819, 270)]
[170 x 324 from (805, 271)]
[172 x 316 from (803, 275)]
[184 x 322 from (794, 274)]
[172 x 318 from (801, 275)]
[179 x 313 from (795, 278)]
[179 x 319 from (792, 276)]
[166 x 320 from (795, 274)]
[152 x 324 from (797, 271)]
[139 x 320 from (797, 272)]
[135 x 332 from (792, 269)]
[118 x 330 from (792, 269)]
[112 x 327 from (786, 271)]
[109 x 326 from (772, 274)]
[102 x 326 from (771, 273)]
[106 x 321 from (763, 275)]
[124 x 323 from (746, 274)]
[140 x 321 from (727, 278)]
[166 x 324 from (704, 279)]
[178 x 324 from (694, 277)]
[187 x 332 from (684, 276)]
[187 x 321 from (681, 282)]
[195 x 327 from (674, 280)]
[184 x 324 from (678, 282)]
[178 x 326 from (677, 282)]
[168 x 330 from (672, 280)]
[160 x 320 from (668, 281)]
[144 x 323 from (665, 279)]
[128 x 325 from (665, 281)]
[116 x 329 from (660, 280)]
[100 x 329 from (661, 279)]
[104 x 322 from (651, 282)]
[111 x 337 from (637, 278)]
[145 x 337 from (606, 278)]
[162 x 329 from (590, 282)]
[170 x 328 from (579, 281)]
[184 x 331 from (565, 283)]
[185 x 325 from (561, 288)]
[188 x 328 from (554, 283)]
[181 x 331 from (561, 284)]
[180 x 330 from (554, 284)]
[166 x 331 from (552, 284)]
[148 x 331 from (558, 283)]
[135 x 333 from (556, 282)]
[118 x 340 from (555, 275)]
[104 x 338 from (551, 278)]
[99 x 337 from (538, 277)]
[112 x 341 from (528, 274)]
[121 x 333 from (516, 279)]
[133 x 331 from (502, 279)]
[163 x 340 from (471, 277)]
[179 x 335 from (459, 279)]
[189 x 332 from (447, 284)]
[194 x 333 from (441, 283)]
[199 x 335 from (433, 282)]
[197 x 338 from (432, 282)]
[186 x 331 from (427, 284)]
[170 x 339 from (431, 278)]
[145 x 336 from (439, 280)]
[137 x 339 from (431, 275)]
[130 x 337 from (421, 277)]
[104 x 351 from (421, 270)]
[101 x 348 from (410, 274)]
[104 x 343 from (405, 276)]
[124 x 351 from (381, 271)]
[154 x 340 from (353, 278)]
[174 x 340 from (333, 278)]
[191 x 336 from (317, 278)]
[199 x 336 from (308, 281)]
[201 x 337 from (300, 282)]
[207 x 336 from (295, 285)]
[203 x 343 from (294, 280)]
[195 x 337 from (294, 281)]
[185 x 348 from (293, 273)]
[179 x 346 from (287, 278)]
[163 x 346 from (290, 276)]
[141 x 348 from (287, 273)]
[137 x 341 from (280, 276)]
[138 x 355 from (263, 271)]
[125 x 347 from (254, 276)]
[137 x 343 from (238, 277)]
[142 x 338 from (230, 278)]
[157 x 345 from (214, 274)]
[164 x 341 from (208, 276)]
[178 x 347 from (192, 274)]
[180 x 341 from (190, 280)]
[189 x 336 from (180, 280)]
[187 x 342 from (176, 277)]
[187 x 342 from (175, 277)]
[185 x 346 from (169, 276)]
[179 x 339 from (168, 279)]
[159 x 344 from (171, 271)]
[142 x 344 from (171, 269)]
[131 x 347 from (165, 271)]
[128 x 342 from (156, 271)]
[109 x 344 from (153, 269)]
[109 x 343 from (149, 273)]
[114 x 342 from (139, 271)]
[129 x 339 from (120, 273)]
[158 x 339 from (92, 275)]
[175 x 338 from (75, 272)]
[188 x 334 from (62, 275)]
[200 x 328 from (51, 276)]
[202 x 338 from (48, 273)]
[203 x 336 from (46, 271)]
[201 x 335 from (41, 271)]
[194 x 330 from (44, 276)]
[173 x 331 from (52, 277)]
[159 x 332 from (51, 273)]
[143 x 329 from (53, 273)]
[139 x 337 from (43, 268)]
[123 x 339 from (43, 268)]
[113 x 340 from (38, 268)]
